data_source_id,data_source_cat_id,name,best_match_name,best_match_data_source_id,best_match_data_source_cat_id,similarity_score
18,949650,Industry Dstilled > Furniture and Appliances Industry - Extended Scale,Industry Dstilled > Furniture and Appliances Industry (Web),35,1004644479,0.866155445706242
18,686314,Lifestyle > Activities > Sea World Park Trip Planners,Lifestyle > Activities > Sea World Park Trip Planners (Web),35,1004648319,0.9725320282492832
18,699083,Lifestyle > Activities > Nashville Activity Researchers - Extreme Confidence,Lifestyle > Activities > Nashville Activity Researchers - Extreme Confidence (Web),35,1004647369,0.9659223270059958
18,699098,Lifestyle > Activities > Orlando Activities Researchers - Extreme Confidence,Lifestyle > Activities > Orlando Activities Researchers - Extreme Confidence (Web),35,1004647389,0.9718639781218747
18,722137,Consumer > Financial Services > Farm Finance Researchers,Consumer > Financial Services > Farm Finance Researchers (Web),35,1006978361,0.9472998741971792
18,784524,Consumer > General Consumer > College Athletic Scholarships Researchers - Extreme Confidence,Consumer > General Consumer > College Athletic Scholarships Researchers - Extreme Confidence (Web),35,1013710551,0.974177447003512
18,785193,Consumer > General Consumer > Adjustable Desks Shoppers,Consumer > General Consumer > Adjustable Desks Shoppers (Web),35,1006978791,0.9701272064094179
18,947132,Consumer > Media > Sports Fans > ACC Fans - Extended Scale,Consumer > Media > Sports Fans > ACC Fans (Web),35,1004648179,0.8782971069615371
18,947987,Consumer > Retail > Black Friday Comparison Shoppers,Consumer > Intent > Shopping > Black Friday Shoppers,35,1005764941,0.7162352627566417
18,948546,Consumer > Media > Sports Fans > Oklahoma State Cowboys Fans - Extended Scale,Consumer > Media > Sports Fans > Oklahoma State Cowboys Fans (Web),35,1004645059,0.9009925844959213
18,817025,Consumer > Education > Educator Resource Readers - Extreme Confidence,Consumer > Education > Educator Resource Readers - Extreme Confidence (Web),35,1013710471,0.9680515210736275
18,947947,Lifestyle > Holidays > Spooky Season Halloween Consumers - Extreme Confidence,Lifestyle > Holidays > Halloween Enthusiasts - Extreme Confidence (Web),35,1003535509,0.5814209912756944
18,948560,Consumer > Media > Sports Fans > Florida Gators Fans - Extended Scale,Consumer > Media > Sports Fans > Florida Gators Fans (Web),35,1004646489,0.9006289766337607
18,948562,Consumer > Media > Sports Fans > Arkansas Razorbacks Fans - Extended Scale,Consumer > Media > Sports Fans > Arkansas Razorbacks Fans (Web),35,1004648219,0.9053432923700503
18,882459,Consumer > B2B > Oil & Energy - Extended Scale,Consumer > B2B > Oil & Energy - Extended Scale (Mobile),35,1007781281,0.9442971632268617
18,950323,Consumer > Media > Sports Fans > Atlanta Hawks Fans - Extended Scale,Consumer > Media > Sports Fans > Atlanta Hawks Fans (Web),35,1004645149,0.9042174153704425
18,969790,Consumer > Financial Services > Blockchain Enthusiasts - Extended Scale,Consumer > Financial Services > Blockchain Enthusiasts (Web),35,1010488191,0.8244425433101051
18,979559,Lifestyle > Activities > Spring Cleaning Enthusiasts,Lifestyle > Activities > Spring Cleaning Enthusiasts (Web),35,1010839571,0.9539523466803956
18,560417,Lifestyle > Lifestage > Family > Children's Learning Tools,Lifestyle > Lifestage > Family > Children's Learning Tools - Extreme Confidence (Mobile),35,1007640451,0.8746496791315024
18,677711,Consumer > B2B > Shipping & Logistics,Consumer > B2B > Shipping & Logistics (Mobile),35,1003588989,0.9373809729721001
18,677747,Lifestyle > Activities > Hobby Drones & Remote-Controlled Cars - Extreme Confidence,Lifestyle > Activities > Hobby Drones & Remote-Controlled Cars - Extreme Confidence (Mobile),35,1007711731,0.980965850331485
18,677811,Consumer > General Consumer > Community Planning & Transportation,Consumer > General Consumer > Community Planning & Transportation (Mobile),35,1003584179,0.9569531656537166
18,687914,Lifestyle > College > New England Universities,Lifestyle > College > New England Universities (Mobile),35,1003583039,0.9584957249320138
18,687964,Consumer > General Consumer > Ancestry & Memorial Researchers,Consumer > General Consumer > Ancestry & Memorial Researchers (Mobile),35,1003589759,0.9655952160141673
18,688684,Consumer > Electronics > Build Your Own Computer Enthusiasts,Consumer > Electronics > Build Your Own Computer Enthusiasts (Mobile),35,1003585049,0.9563338822597958
18,882226,Consumer > Retail > As Seen On TV Products - Extended Scale,Consumer > Retail > As Seen On TV Products - Extended Scale (Mobile),35,1007721071,0.9557018449139514
18,882288,Consumer > Financial Services > Credit Unions & Consumer Protection - Extended Scale,Consumer > Financial Services > Credit Unions & Consumer Protection - Extended Scale (Mobile),35,1007780941,0.9718562282098746
18,882508,Consumer > CPG > Food > Grilling - Extended Scale,Consumer > CPG > Food > Grilling - Extended Scale (Mobile),35,1007781381,0.950500869596221
18,882618,Consumer > Financial Services > Startup Investment - Extended Scale,Consumer > Financial Services > Startup Investment - Extended Scale (Mobile),35,1007760931,0.9653249575083234
18,882706,Consumer > Travel > Las Vegas Hotels - Extended Scale,Consumer > Travel > Las Vegas Hotels - Extended Scale (Mobile),35,1007797091,0.9644783803234493
18,882791,Consumer > General Consumer > Chain Restaurants - Extended Scale,Consumer > General Consumer > Chain Restaurants - Extended Scale (Mobile),35,1007855691,0.9587903475160491
18,948590,Consumer > Education > Tutoring Resources Researchers - Extended Scale,Consumer > Education > Tutoring Resources Researchers (Web),35,1004647319,0.852916756646052
18,949188,Consumer > CPG > Beauty > Politics Audience - Extended Scale,Consumer > CPG > Beauty > Politics Audience (Web),35,1006261281,0.7502968572139626
18,949216,Lifestyle > Holidays > Father's Day Celebrators - Extended Scale,Lifestyle > Holidays > Father's Day Celebrators - Extended Scale (Web),35,1013692481,0.9739430209225299
