data_source_id,data_source_cat_id,name,best_match_name,best_match_data_source_id,best_match_data_source_cat_id,similarity_score,data_source_cat_size,best_match_data_source_cat_size,size_change
18,332492,Consumer > Healthcare > Pharma > Sinus Researchers - Extended Scale,Consumer > Healthcare > Pharma > Sinus Researchers (Mobile),35,1003543829,0.8456792297659621,0,0,0
18,392946,Consumer > CPG > Food > Whiskey Lovers - Extreme Confidence,Consumer > CPG > Food > Whiskey Lovers - Extreme Confidence (Mobile),35,1003541929,0.9599697182792056,1428,0,0
18,444811,Consumer > B2B > Software Directory Researchers - Extended Scale,Consumer > B2B > Software Directory Researchers (Mobile),35,1003545349,0.8380494446089042,0,0,0
18,454796,Consumer > Electronics > Camera Shoppers,Consumer > Electronics > Camera Shoppers (Mobile),35,1003545079,0.9331604628593216,0,0,0
18,462781,Consumer > Travel > United Arab Emirates Trip Planners,Consumer > Travel > United Arab Emirates Trip Planners (Mobile),35,1003545389,0.9773252133948724,0,0,0
18,477827,Consumer > CPG > Food > Price Conscious Grocery Shoppers,Consumer > CPG > Food > Price Conscious Grocery Shoppers (Mobile),35,1003545579,0.9509204136644482,0,0,0
18,481308,Lifestyle > Activities > Charitable Organization Researchers - Extreme Confidence,Lifestyle > Activities > Charitable Organization Researchers - Extreme Confidence (Web),35,1003532729,0.9644531522681518,118932,0,0
18,486617,Consumer > Healthcare > Pharma > Pharmacy Shoppers - Extreme Confidence,Consumer > Healthcare > Pharma > Pharmacy Shoppers - Extreme Confidence (Mobile),35,1003546389,0.9605316824848276,0,0,0
18,511636,Consumer > General Consumer > Rideshare App Users,Consumer > General Consumer > Rideshare App Users (Web),35,1005487849,0.9644325610368571,0,0,0
18,576042,Consumer > Travel > Rapid City Trip Planners,Consumer > Travel > Rapid City Trip Planners (Mobile),35,1003548819,0.966698406845946,0,0,0
18,625838,Consumer > Electronics > Xbox Enthusiasts,Consumer > Electronics > Xbox Enthusiasts (Mobile),35,1004936969,0.936417066461643,0,0,0
18,629302,Consumer > General Consumer > Movie Ticket Buyers - Extreme Confidence,Consumer > General Consumer > Movie Ticket Buyers - Extreme Confidence (Mobile),35,1004937919,0.9611469529354376,0,0,0
18,632868,Consumer > Media > Sports Fans > Arsenal Fans - Extreme Confidence,Consumer > Media > Sports Fans > Arsenal Fans - Extreme Confidence (Mobile),35,1004936249,0.9733071612623152,0,0,0
18,654623,Consumer > Media > Sports Fans > Daily Fantasy Sports Enthusiasts - Extreme Confidence,Consumer > Media > Sports > Daily Fantasy Sports Enthusiasts - Extreme Confidence (Web),35,1003973989,0.9196476055577129,0,0,0
18,681275,Consumer > CPG > Food > Mexican Food Shoppers - Extreme Confidence,Consumer > CPG > Food > Mexican Food Shoppers - Extreme Confidence (Mobile),35,1004648649,0.959837678004969,0,0,0
18,682128,Consumer > Retail > Apparel > Luxury Watch Shoppers - Extreme Confidence,Consumer > Retail > Apparel > Luxury Watch Shoppers - Extreme Confidence (Web),35,1004646299,0.9582969891949776,0,0,0
18,683790,Consumer > General Consumer > Ergonomic Office Supplies Shoppers - Extreme Confidence,Consumer > General Consumer > Ergonomic Office Supplies Shoppers - Extreme Confidence (Web),35,1004646899,0.9731157834565816,0,0,0
