origin_data_source_category_id,target_data_source_category_id
1007779981,1017983091
1007780031,1017983101
1007779991,1017983111
1007780021,1017983121
1000846326,1017983151
1000847456,1017983161
1000846346,1017983171
1000847486,1017983181
1000846316,1017983191
1000847496,1017983211
1000846306,1017983221
1000846296,1017983231
1000847516,1017983251
1000846286,1017983261
1000847526,1017983271
1000846336,1017983281
1000846276,1017983291
1000847466,1017983301
1000847476,1017983311
1000847506,1017983321
1003266739,1017983331
1003266749,1017983341
1003266549,1017983351
1003266379,1017983361
1003266559,1017983371
1003266569,1017983381
1003266579,1017983391
1003266759,1017983401
1003266599,1017983411
1003266779,1017983421
1003266609,1017983431
1003266789,1017983441
1003267319,1017983451
1003267039,1017983481
1003266629,1017983491
1003266809,1017983501
1003266639,1017983511
1003266819,1017983521
1003267049,1017983531
1003267139,1017983541
1003267059,1017983551
1003267149,1017983561
1003267069,1017983571
1003267159,1017983581
1003267169,1017983591
1003266649,1017983601
1003266829,1017983611
1003267259,1017983621
1003266659,1017983631
1003266839,1017983641
1003266669,1017983651
1003266849,1017983661
1003266859,1017983671
1003266679,1017983681
1003266879,1017983691
1003266689,1017983701
1003266889,1017983711
1003266899,1017983721
1003266699,1017983731
1003266909,1017983741
1003266919,1017983751
1003267349,1017983761
1003266929,1017983771
1003266709,1017983781
1003266939,1017983791
1003267079,1017983801
1003267189,1017983811
1003267179,1017983821
1003267199,1017983831
1003267089,1017983841
1003267209,1017983851
1003266719,1017983861
1003266969,1017983871
1003267269,1017983881
1003267359,1017983891
1003267279,1017983901
1003267369,1017983911
1003267099,1017983921
1003267219,1017983931
1003267109,1017983941
1003267229,1017983951
1003267119,1017983961
1003267239,1017983971
1003266989,1017983981
1003266729,1017983991
1003267009,1017984001
1003267379,1017984011
1003267299,1017984021
1003267019,1017984031
1003267029,1017984041
1003267309,1017984051
1003267399,1017984061
1007780041,1017984071
1007780081,1017984081
1007780051,1017984091
1007780061,1017984101
1007780071,1017984111
1000846356,1017984131
1000846366,1017984141
1000847436,1017984151
1000846396,1017984161
1000846406,1017984171
1000847446,1017984181
1000846376,1017984191
1000847416,1017984201
1000847406,1017984211
1000846386,1017984221
1000847426,1017984231
1000847396,1017984241
1000847386,1017984251
1000846426,1017984261
1000847356,1017984271
1000847346,1017984281
1000846416,1017984291
1000847376,1017984301
1000846446,1017984311
1000846456,1017984321
1000847366,1017984331
1000846436,1017984341
1006322281,1017984351
1001433649,1017984361
1000848266,1017984371
1000845596,1017984381
1000848196,1017984391
1000845446,1017984401
1000845436,1017984411
1000848366,1017984421
1000845416,1017984431
1000848376,1017984441
1000848386,1017984451
1000848406,1017984461
1000845376,1017984471
1000845586,1017984481
1000848206,1017984491
1000845366,1017984501
1000848446,1017984511
1000845576,1017984521
1000845326,1017984531
1000845316,1017984541
1000848476,1017984551
1000845296,1017984561
1000845306,1017984571
1000848216,1017984581
1000848516,1017984591
1000845266,1017984601
1000845516,1017984611
1000845256,1017984621
1000848536,1017984631
1000845246,1017984641
1000848546,1017984651
1000845236,1017984661
1000848276,1017984671
1003266519,1017984681
1000845566,1017984691
1000848556,1017984701
1000848566,1017984711
1000845496,1017984721
1003266509,1017984731
1000848296,1017984741
1000848226,1017984751
1000845486,1017984761
1000848306,1017984771
1003266499,1017984781
1000845476,1017984791
1000848316,1017984801
1000845216,1017984811
1000848576,1017984821
1000845206,1017984831
1000848586,1017984841
1000845196,1017984851
1003266529,1017984861
1000845466,1017984871
1000848326,1017984881
1000848596,1017984891
1000845186,1017984901
1000848606,1017984911
1000845176,1017984921
1000848616,1017984931
1000845166,1017984941
1000848626,1017984951
1000845156,1017984961
1000848636,1017984971
1000845146,1017984981
1000845456,1017984991
1000848336,1017985001
1000848256,1017985011
1000845526,1017985021
1000845506,1017985031
1011158281,1017985041
1011158291,1017985051
1011158351,1017985061
1011158361,1017985071
1011158391,1017985081
1011158431,1017985091
1011158441,1017985101
1011158311,1017985111
1011158451,1017985121
1011158341,1017985131
1011158461,1017985141
1011158471,1017985151
1011158481,1017985161
1011158491,1017985171
1011158501,1017985181
1011158511,1017985191
1011158521,1017985201
1011158531,1017985211
1011158541,1017985221
1011158561,1017985231
1011158571,1017985241
1011158581,1017985251
1011158591,1017985261
1011158611,1017985271
1011158601,1017985281
1011158621,1017985291
1011158631,1017985301
1011158641,1017985311
1011158721,1017985321
1011158741,1017985331
1011158751,1017985341
1011158761,1017985351
1011158771,1017985361
1011158781,1017985371
1011158791,1017985381
1011246761,1017985391
1011246841,1017985401
1011158801,1017985411
1011158811,1017985421
1011158861,1017985431
1011158871,1017985441
1011158891,1017985451
1011158901,1017985461
1011158911,1017985471
1011158921,1017985481
1012103631,1017985491
1012103691,1017985501
1009155811,1017985521
1009156281,1017985531
1009156591,1017985541
1002759356,1017985551
1006322421,1017985561
1009153341,1017985571
1002759506,1017985581
1009153371,1017985591
1001957496,1017985601
1002759626,1017985611
1001957506,1017985621
1009153441,1017985631
1006322441,1017985641
1002759676,1017985651
1001957526,1017985661
1002759826,1017985671
1009153501,1017985681
1002759896,1017985691
1002760056,1017985701
1001957546,1017985711
1009153611,1017985721
1002760086,1017985731
1002760096,1017985741
1009153641,1017985751
1001957576,1017985761
1009153691,1017985771
1009153751,1017985781
1001957586,1017985791
1009153831,1017985801
1001957596,1017985811
1009153881,1017985821
1009153951,1017985831
1009153971,1017985841
1001957616,1017985851
1012103131,1017985861
1002760606,1017985881
1001957636,1017985901
1009154151,1017985911
1001957656,1017985921
1002760966,1017985931
1001957686,1017985941
1001957706,1017985951
1001957716,1017985971
1009154291,1017985981
1001957726,1017986001
1001957736,1017986011
1001957746,1017986021
1001431319,1017986031
1009154531,1017986051
1001957806,1017986061
1006322481,1017986071
1009154671,1017986081
1009154721,1017986091
1009154761,1017986101
1001957836,1017986111
1001957846,1017986121
1009154821,1017986131
1002761936,1017986141
1006322491,1017986151
1009154861,1017986161
1009154871,1017986171
1009154881,1017986181
1001957856,1017986191
1009154911,1017986201
1009154951,1017986211
1001957866,1017986221
1001957876,1017986241
1002762166,1017986251
1002762216,1017986261
1002762226,1017986271
1009155041,1017986281
1002762296,1017986291
1001957896,1017986301
1001957906,1017986311
1009155091,1017986321
1012103721,1017986331
1001431449,1017986341
1012103401,1017986351
1009155141,1017986361
1009155211,1017986371
1009155231,1017986381
1009155241,1017986391
1001957916,1017986401
1009155321,1017986411
1001431489,1017986421
1006322521,1017986431
1001957946,1017986441
1001431499,1017986451
1012103441,1017986461
1001957956,1017986471
1002762876,1017986481
1009155381,1017986491
1001957966,1017986501
1012103451,1017986511
1001957986,1017986521
1006322531,1017986531
1006322541,1017986561
1001958016,1017986571
1006322551,1017986581
1009155681,1017986591
1009155701,1017986601
1009155751,1017986611
1002763616,1017986621
1002763666,1017986631
1009155791,1017986641
1009155821,1017986651
1009155901,1017986661
1002763816,1017986671
1002763836,1017986681
1002763876,1017986691
1002763916,1017986701
1001958046,1017986711
1009155981,1017986721
1001958066,1017986731
1009156011,1017986741
1009156031,1017986751
1009156041,1017986761
1001958076,1017986771
1001958086,1017986781
1009155341,1017986791
1006322571,1017986791
1009156201,1017986801
1009156211,1017986811
1002764386,1017986821
1009156251,1017986831
1009156261,1017986841
1009156271,1017986851
1002764416,1017986861
1001958126,1017986871
1001958136,1017986881
1001958146,1017986891
1009156371,1017986901
1002764586,1017986911
1009156431,1017986921
1002764606,1017986931
1001431739,1017986941
1002764706,1017986951
1001958166,1017986961
1009156581,1017986971
1001431779,1017986981
1002764926,1017986991
1009156681,1017987001
1002759436,1017987011
1002759726,1017987021
1001957516,1017987031
1009153531,1017987041
1012103091,1017987051
1009153791,1017987071
1009153801,1017987081
1009154101,1017987091
1012103231,1017987101
1002761186,1017987111
1001957816,1017987121
1009154851,1017987131
1009155201,1017987141
1009155261,1017987151
1009155311,1017987161
1009155421,1017987171
1012103461,1017987181
1009155511,1017987191
1002763576,1017987201
1012103611,1017987211
1001958116,1017987221
1002759976,1017987261
1002760026,1017987271
1001431199,1017987281
1001957646,1017987291
1002760856,1017987301
1012103271,1017987321
1012103351,1017987331
1002762096,1017987341
1002762106,1017987351
1009155391,1017987361
1002763686,1017987371
1002763746,1017987381
1012103561,1017987391
1012103581,1017987401
1001431629,1017987411
1001431659,1017987421
1001431759,1017987431
1010323161,1017987441
1010325891,1017987451
1010326161,1017987461
1010326171,1017987471
1010325901,1017987481
1010326151,1017987491
1010326181,1017987501
1010326191,1017987511
1010326201,1017987521
1010326211,1017987531
1010326221,1017987541
1010325911,1017987551
1010325921,1017987561
1010326231,1017987571
1010326241,1017987581
1010326251,1017987591
1010325931,1017987601
1010326261,1017987611
1010325941,1017987621
1010325951,1017987631
1010326271,1017987641
1010326281,1017987651
1010325961,1017987661
1010325971,1017987671
1010325981,1017987681
1010325991,1017987691
1010326001,1017987701
1010326011,1017987711
1010326021,1017987721
1010326031,1017987731
1010326291,1017987741
1010326301,1017987751
1010326041,1017987761
1010326311,1017987771
1010326321,1017987781
1010326051,1017987791
1010326061,1017987801
1010326331,1017987811
1010326071,1017987821
1010326081,1017987831
1010326091,1017987841
1010326341,1017987851
1010326351,1017987861
1010326361,1017987871
1010326101,1017987881
1010326371,1017987891
1010326111,1017987901
1010326121,1017987911
1010326381,1017987921
1010326131,1017987931
1010326391,1017987941
1010326401,1017987951
1010326141,1017987961
1010326411,1017987971
1010326421,1017987981
1010326431,1017987991
1010326441,1017988001
1010326451,1017988011
1009153631,1017988071
1009153911,1017988081
1009153921,1017988091
1012103701,1017988101
1009154041,1017988111
1009155131,1017988121
1009156511,1017988141
1006322591,1017988151
1006322611,1017988161
1006322621,1017988171
1009153671,1017988181
1002762486,1017988191
1009155401,1017988201
1001431069,1017988221
1012103041,1017988231
1001661026,1017988241
1009154011,1017988251
1002760686,1017988261
1001431279,1017988271
1002761046,1017988281
1002761406,1017988291
1002761446,1017988301
1001431329,1017988311
1001431369,1017988321
1002761986,1017988341
1002762246,1017988351
1002762526,1017988361
1009155221,1017988371
1002762926,1017988381
1001661056,1017988391
1002763326,1017988401
1001431559,1017988411
1002763846,1017988421
1002763946,1017988431
1012103591,1017988441
1002764406,1017988451
1002764596,1017988461
1001958196,1017988471
1012103071,1017988481
1012103021,1017988541
1001957486,1017988551
1001431119,1017988561
1002759956,1017988571
1002759926,1017988581
1002760106,1017988591
1002760616,1017988601
1001431219,1017988611
1002761316,1017988631
1002761346,1017988641
1001957786,1017988651
1009154511,1017988661
1002761756,1017988671
1009154791,1017988681
1002762206,1017988691
1006322661,1017988701
1001431459,1017988711
1002762586,1017988721
1002762626,1017988731
1002762886,1017988751
1006322671,1017988761
1002763546,1017988771
1002763436,1017988781
1002763696,1017988791
1002763936,1017988801
1009155971,1017988811
1001958056,1017988821
1002764436,1017988831
1002759536,1017988841
1009153961,1017988861
