data_source_id,data_source_cat_id,name,best_match_name,best_match_data_source_id,best_match_data_source_cat_id,similarity_score,data_source_cat_size,best_match_data_source_cat_size,size_change
18,947170,Consumer > Healthcare > Pharma > Generic Prescription Drug Shoppers - Extended Scale,Consumer > Healthcare > Pharma > Pharmacy - Extended Scale (Mobile),35,1007760981,0.5376858901668585,10681236,0,0
18,953065,Predictive Locations > Restaurants > QSR > Predictive In-Store Wing Zone Visitors - Extended Scale,Predictive Locations > Restaurants > Casual Restaurants > Predictive In-Store Wing Stop Visitors (Web),35,1005412639,0.6794676709531848,10305060,0,0
18,954835,Predictive Locations > Retail > Grocery > Predictive In-Store Marsh Supermarkets Visitors - Extended Scale,Predictive Locations > Retail > Grocery > Predictive In-Store Whole Foods Visitors (Web),35,1005415249,0.6626893204012969,10584540,0,0
18,421185,Consumer > General Consumer > Womens Fitness Enthusiasts,Consumer > General Consumer > Women's Fitness Enthusiasts (Mobile),35,1003544219,0.7319711246232117,0,0,0
18,947987,Consumer > Retail > Black Friday Comparison Shoppers,Consumer > Intent > Shopping > Black Friday Shoppers,35,1005764941,0.7162352627566417,2340696,43130292,1843
18,947947,Lifestyle > Holidays > Spooky Season Halloween Consumers - Extreme Confidence,Lifestyle > Holidays > Halloween Enthusiasts - Extreme Confidence (Web),35,1003535509,0.5814209912756944,402696,0,0
18,949450,Lifestyle > Holidays > Christmas Lights Shoppers - Extended Scale,Holidays > Christmas > Online Shoppers,35,1013629231,0.5900335122743928,11273652,0,0
18,951926,Consumer > General Consumer > Dachsun Content Readers - Extreme Confidence,Consumer > Games > Gaming Content Readers - Extreme Confidence (Mobile),35,1007832731,0.7306459335999058,298248,0,0
18,882868,Lifestyle > Lifestage > Family > Teaching Tools for Kids - Extended Scale,Lifestyle > Lifestage > Family > Children's Learning Tools - Extended Scale (Mobile),35,1007761461,0.6125368083897149,10193472,0,0
18,701224,Predictive Locations > Retail > Pets > Predictive In-Store Tribute Equine Visitors - Extreme Confidence,Predictive Locations > Retail > Pets > Predictive In-Store PetCo Visitors (Web),35,1005411789,0.6142780677945961,228684,0,0
18,716294,Predictive Locations > Retail > Grocery > Predictive In-Store Haggen Food Visitors - Extreme Confidence,Predictive Locations > Retail > Grocery > Predictive In-Store Key Food Visitors (Web),35,1005413039,0.6898114575052423,239292,0,0
18,328287,Consumer > CPG > Food > Active Diet & Weight Loss Researchers - Extreme Confidence,Consumer > Healthcare > Weight Loss Researchers - Extreme Confidence (Mobile),35,1003545829,0.7424554993919326,0,0,0
18,369111,Consumer > Media > Sports Fans > Active Soccer Enthusiasts - Extended Scale,Consumer > Media > Sports > Soccer Fans (Mobile),35,1003543189,0.6527640705580942,0,0,0
18,384896,Lifestyle > Political > Voting Registration Researchers - Extended Scale,Consumer > Auto > Motorcycle Lifestyle Researchers - Extended Scale (Mobile),35,1007761071,0.508728260135367,0,0,0
18,658010,Consumer > Media > Sports Fans > Oakland Raiders Fans - Extreme Confidence,Consumer > Media > Sports > Las Vegas Raiders Fans - Extreme Confidence (Web),35,1003974619,0.6793503938920977,0,0,0
18,948698,Consumer > Media > Instagram Influencers,Social Media > Instagram,35,1004272019,0.7269182442118675,5810124,37031916,637
18,950195,Consumer > General Consumer > Toy Poodle Content Readers - Extreme Confidence,Consumer > Games > Gaming Content Readers - Extreme Confidence (Mobile),35,1007832731,0.5349576955358503,95064,0,0
18,1085855,MRI GfK > Automotive > Power Sports > All-Terrain Vehicle (ATV) Current Owners,NIQ Dstillery Auto > Automotive > Power Sports > All-Terrain Vehicle (ATV) Current Owners (Web),35,1014792791,0.7240800236317078,2108544,0,0
18,715178,Predictive Locations > Retail > Pets > Predictive National Veterinary Associates Visitors,Predictive Locations > Retail > Pets > Predictive In-Store PetCo Visitors (Web),35,1005411789,0.6091776514100445,3047352,0,0
18,716004,Predictive Locations > Retail > Malls > Predictive In-Store Bealls Outlet Visitors - Extreme Confidence,Predictive Locations > Retail > Malls > Predictive In-Store U.S. Malls Visitors (Web),35,1005415419,0.6953928705991125,187884,0,0
18,954867,Predictive Locations > Retail > Home Maintenance > Predictive In-Store Furniture Row Visitors - Extended Scale,Predictive Locations > Retail > Home Maintenance > Predictive In-Store Home Depot Visitors (Web),35,1005412769,0.6738326434511991,11100864,0,0
18,955036,Predictive Locations > Retail > Grocery > Predictive In-Store Shaws Markets Visitors - Extended Scale,Predictive Locations > Retail > Grocery > Predictive In-Store ShopRite Markets Visitors (Web),35,1005416129,0.7133593291836804,10326480,0,0
18,955066,Predictive Locations > Auto > Service Supplies > Predictive In-Store Valvoline Instant Oil Change Visitors - Extended Scale,Predictive Locations > Auto > Service Supplies > Predictive In-Store AutoZone Visitors (Web),35,1005415049,0.6298579115952224,10384008,0,0
18,308230,Consumer > CPG > Food > Grillers - Extreme Confidence,Audience portraits > Food and Dining > BBQ/Grillers,35,1000742256,0.5274404175769284,0,342720,0
18,314560,Consumer > Retail > Department Store Shoppers - Extended Scale,Consumer > Retail > Department Store Shoppers (Web),35,1003529259,0.7415844968978743,10970100,0,0
18,332510,Consumer > Healthcare > Active First Aid Researchers - Extended Scale,Consumer > Healthcare > First Aid Researchers (Mobile),35,1003543729,0.6939787547324355,0,0,0
18,629745,Consumer > Auto > Ford Vehicle Shoppers - Extended Scale,Consumer > Auto > Ford Vehicle Shoppers (Mobile),35,1004936159,0.7494459399379844,0,0,0
18,311464,Consumer > Media > Streaming Video Enthusiasts - Extended Scale,Consumer > Media > Alternative Streaming Services - Extended Scale (Mobile),35,1007780991,0.6178739837858611,0,0,0
